request_length,param_count,special_char_ratio,url_depth,user_agent_length,content_length,request_time_seconds,status_code,sql_keywords_count,html_tag_count,path_traversal_count,entropy,max_token_length,has_equals,has_quotes,digit_count,letter_count,letter_digit_ratio,attack_type
19,1,0.0,2,120,6,0.81,200,0,0,0,2.2516,4,1,0,0,5,5.0,normal
23,1,0.0,2,120,10,1.56,200,1,0,0,3.1219,5,1,0,0,9,9.0,normal
35,1,0.0,2,120,22,1.65,200,0,0,0,3.6978,7,1,0,0,19,19.0,normal
19,1,0.0,2,120,6,1.38,200,0,0,0,2.2516,3,1,0,3,2,0.5,normal
19,1,0.0,2,120,6,0.78,200,0,0,0,2.2516,4,1,0,0,5,5.0,normal
19,1,0.0,2,120,6,0.26,200,0,0,0,2.2516,4,1,0,0,5,5.0,normal
33,1,0.0,2,120,20,1.78,200,2,0,0,3.5464,11,1,0,0,19,19.0,normal
23,1,0.0,2,120,10,1.86,200,1,0,0,3.1219,5,1,0,0,9,9.0,normal
19,1,0.0,2,120,6,0.96,200,0,0,0,2.2516,3,1,0,3,2,0.5,normal
35,1,0.0,2,120,22,1.79,200,0,0,0,3.6978,7,1,0,0,19,19.0,normal
23,1,0.0,2,120,10,1.06,200,1,0,0,3.1219,5,1,0,0,9,9.0,normal
35,1,0.0,2,120,22,1.24,200,0,0,0,3.6978,7,1,0,0,19,19.0,normal
35,1,0.0,2,120,22,1.72,200,0,0,0,3.6978,7,1,0,0,19,19.0,normal
35,1,0.0,2,120,22,1.96,200,0,0,0,3.6978,7,1,0,0,19,19.0,normal
19,1,0.0,2,120,6,1.67,200,0,0,0,2.585,4,1,0,1,4,2.0,normal
19,1,0.0,2,120,6,0.26,200,0,0,0,2.2516,4,1,0,0,5,5.0,normal
19,1,0.0,2,120,6,1.77,200,0,0,0,2.2516,4,1,0,0,5,5.0,normal
22,1,0.0,2,120,9,1.09,200,0,0,0,3.1699,7,1,0,1,7,3.5,normal
22,1,0.0,2,120,9,0.58,200,0,0,0,3.1699,7,1,0,1,7,3.5,normal
35,1,0.0,2,120,22,1.51,200,0,0,0,3.6978,7,1,0,0,19,19.0,normal
23,1,0.0,2,120,10,1.03,200,1,0,0,3.1219,5,1,0,0,9,9.0,normal
23,1,0.0,2,120,10,1.49,200,1,0,0,3.1219,5,1,0,0,9,9.0,normal
23,1,0.0,2,120,10,1.14,200,1,0,0,3.1219,5,1,0,0,9,9.0,normal
19,1,0.0,2,120,6,1.09,200,0,0,0,2.2516,4,1,0,0,5,5.0,normal
19,1,0.0,2,120,6,0.52,200,0,0,0,2.2516,4,1,0,0,5,5.0,normal
23,1,0.0,2,120,10,1.52,200,1,0,0,3.1219,5,1,0,0,9,9.0,normal
25,1,0.0,2,120,12,0.53,200,0,0,0,3.085,6,1,0,0,11,11.0,normal
19,1,0.0,2,120,6,0.4,200,0,0,0,2.2516,3,1,0,3,2,0.5,normal
19,1,0.0,2,120,6,1.46,200,0,0,0,2.585,4,1,0,1,4,2.0,normal
25,1,0.0,2,120,12,1.04,200,0,0,0,3.085,6,1,0,0,11,11.0,normal
25,1,0.0,2,120,12,1.42,200,0,0,0,3.085,6,1,0,0,11,11.0,normal
33,1,0.0,2,120,20,0.56,200,2,0,0,3.5464,11,1,0,0,19,19.0,normal
19,1,0.0,2,120,6,0.68,200,0,0,0,2.2516,4,1,0,0,5,5.0,normal
19,1,0.0,2,120,6,1.13,200,0,0,0,2.585,4,1,0,1,4,2.0,normal
25,1,0.0,2,120,12,1.91,200,0,0,0,3.085,6,1,0,0,11,11.0,normal
19,1,0.0,2,120,6,0.14,200,0,0,0,2.585,4,1,0,1,4,2.0,normal
22,1,0.0,2,120,9,0.66,200,0,0,0,3.1699,7,1,0,1,7,3.5,normal
19,1,0.0,2,120,6,0.45,200,0,0,0,2.585,4,1,0,1,4,2.0,normal
25,1,0.0,2,120,12,0.23,200,0,0,0,3.085,6,1,0,0,11,11.0,normal
19,1,0.0,2,120,6,1.91,200,0,0,0,2.2516,3,1,0,3,2,0.5,normal
19,1,0.0,2,120,6,1.9,200,0,0,0,2.2516,4,1,0,0,5,5.0,normal
19,1,0.0,2,120,6,0.12,200,0,0,0,2.2516,4,1,0,0,5,5.0,normal
33,1,0.0,2,120,20,0.75,200,2,0,0,3.5464,11,1,0,0,19,19.0,normal
23,1,0.0,2,120,10,0.5,200,1,0,0,3.1219,5,1,0,0,9,9.0,normal
19,1,0.0,2,120,6,1.28,200,0,0,0,2.2516,4,1,0,0,5,5.0,normal
19,1,0.0,2,120,6,1.31,200,0,0,0,2.2516,3,1,0,3,2,0.5,normal
22,1,0.0,2,120,9,1.39,200,0,0,0,3.1699,7,1,0,1,7,3.5,normal
22,1,0.0,2,120,9,1.05,200,0,0,0,3.1699,7,1,0,1,7,3.5,normal
23,1,0.0,2,120,10,0.16,200,1,0,0,3.1219,5,1,0,0,9,9.0,normal
19,1,0.0,2,120,6,1.74,200,0,0,0,2.2516,3,1,0,3,2,0.5,normal
19,1,0.0,2,120,6,1.53,200,0,0,0,2.2516,4,1,0,0,5,5.0,normal
25,1,0.0,2,120,12,0.9,200,0,0,0,3.085,6,1,0,0,11,11.0,normal
23,1,0.0,2,120,10,1.9,200,1,0,0,3.1219,5,1,0,0,9,9.0,normal
19,1,0.0,2,120,6,1.99,200,0,0,0,2.2516,3,1,0,3,2,0.5,normal
19,1,0.0,2,120,6,0.17,200,0,0,0,2.2516,4,1,0,0,5,5.0,normal
19,1,0.0,2,120,6,1.54,200,0,0,0,2.2516,3,1,0,3,2,0.5,normal
25,1,0.0,2,120,12,1.0,200,0,0,0,3.085,6,1,0,0,11,11.0,normal
25,1,0.0,2,120,12,0.26,200,0,0,0,3.085,6,1,0,0,11,11.0,normal
25,1,0.0,2,120,12,0.96,200,0,0,0,3.085,6,1,0,0,11,11.0,normal
23,1,0.0,2,120,10,0.56,200,1,0,0,3.1219,5,1,0,0,9,9.0,normal
19,1,0.0,2,120,6,0.17,200,0,0,0,2.2516,3,1,0,3,2,0.5,normal
33,1,0.0,2,120,20,1.15,200,2,0,0,3.5464,11,1,0,0,19,19.0,normal
19,1,0.0,2,120,6,0.51,200,0,0,0,2.2516,3,1,0,3,2,0.5,normal
19,1,0.0,2,120,6,0.28,200,0,0,0,2.2516,4,1,0,0,5,5.0,normal
35,1,0.0,2,120,22,1.23,200,0,0,0,3.6978,7,1,0,0,19,19.0,normal
22,1,0.0,2,120,9,1.88,200,0,0,0,3.1699,7,1,0,1,7,3.5,normal
19,1,0.0,2,120,6,0.23,200,0,0,0,2.2516,3,1,0,3,2,0.5,normal
35,1,0.0,2,120,22,0.98,200,0,0,0,3.6978,7,1,0,0,19,19.0,normal
19,1,0.0,2,120,6,1.62,200,0,0,0,2.2516,4,1,0,0,5,5.0,normal
22,1,0.0,2,120,9,0.58,200,0,0,0,3.1699,7,1,0,1,7,3.5,normal
25,1,0.0,2,120,12,1.43,200,0,0,0,3.085,6,1,0,0,11,11.0,normal
19,1,0.0,2,120,6,0.43,200,0,0,0,2.2516,3,1,0,3,2,0.5,normal
19,1,0.0,2,120,6,0.66,200,0,0,0,2.2516,3,1,0,3,2,0.5,normal
35,1,0.0,2,120,22,0.18,200,0,0,0,3.6978,7,1,0,0,19,19.0,normal
23,1,0.0,2,120,10,0.91,200,1,0,0,3.1219,5,1,0,0,9,9.0,normal
35,1,0.0,2,120,22,1.94,200,0,0,0,3.6978,7,1,0,0,19,19.0,normal
25,1,0.0,2,120,12,0.48,200,0,0,0,3.085,6,1,0,0,11,11.0,normal
19,1,0.0,2,120,6,0.57,200,0,0,0,2.2516,3,1,0,3,2,0.5,normal
19,1,0.0,2,120,6,1.57,200,0,0,0,2.2516,4,1,0,0,5,5.0,normal
35,1,0.0,2,120,22,1.57,200,0,0,0,3.6978,7,1,0,0,19,19.0,normal
22,1,0.0,2,120,9,0.67,200,0,0,0,3.1699,7,1,0,1,7,3.5,normal
19,1,0.0,2,120,6,0.75,200,0,0,0,2.585,4,1,0,1,4,2.0,normal
19,1,0.0,2,120,6,0.53,200,0,0,0,2.2516,3,1,0,3,2,0.5,normal
19,1,0.0,2,120,6,1.64,200,0,0,0,2.2516,3,1,0,3,2,0.5,normal
25,1,0.0,2,120,12,0.29,200,0,0,0,3.085,6,1,0,0,11,11.0,normal
35,1,0.0,2,120,22,0.35,200,0,0,0,3.6978,7,1,0,0,19,19.0,normal
22,1,0.0,2,120,9,0.93,200,0,0,0,3.1699,7,1,0,1,7,3.5,normal
23,1,0.0,2,120,10,1.61,200,1,0,0,3.1219,5,1,0,0,9,9.0,normal
19,1,0.0,2,120,6,0.14,200,0,0,0,2.2516,4,1,0,0,5,5.0,normal
23,1,0.0,2,120,10,1.31,200,1,0,0,3.1219,5,1,0,0,9,9.0,normal
25,1,0.0,2,120,12,0.9,200,0,0,0,3.085,6,1,0,0,11,11.0,normal
22,1,0.0,2,120,9,0.63,200,0,0,0,3.1699,7,1,0,1,7,3.5,normal
19,1,0.0,2,120,6,0.23,200,0,0,0,2.2516,4,1,0,0,5,5.0,normal
25,1,0.0,2,120,12,0.6,200,0,0,0,3.085,6,1,0,0,11,11.0,normal
23,1,0.0,2,120,10,1.0,200,1,0,0,3.1219,5,1,0,0,9,9.0,normal
19,1,0.0,2,120,6,1.82,200,0,0,0,2.585,4,1,0,1,4,2.0,normal
35,1,0.0,2,120,22,0.33,200,0,0,0,3.6978,7,1,0,0,19,19.0,normal
35,1,0.0,2,120,22,0.26,200,0,0,0,3.6978,7,1,0,0,19,19.0,normal
35,1,0.0,2,120,22,1.36,200,0,0,0,3.6978,7,1,0,0,19,19.0,normal
19,1,0.0,2,120,6,1.35,200,0,0,0,2.2516,3,1,0,3,2,0.5,normal
23,1,0.0,2,120,10,1.16,200,1,0,0,3.1219,5,1,0,0,9,9.0,normal
19,1,0.0,2,120,6,0.23,200,0,0,0,2.2516,3,1,0,3,2,0.5,normal
35,1,0.0,2,120,22,1.21,200,0,0,0,3.6978,7,1,0,0,19,19.0,normal
25,1,0.0,2,120,12,1.16,200,0,0,0,3.085,6,1,0,0,11,11.0,normal
19,1,0.0,2,120,6,0.48,200,0,0,0,2.585,4,1,0,1,4,2.0,normal
33,1,0.0,2,120,20,0.35,200,2,0,0,3.5464,11,1,0,0,19,19.0,normal
19,1,0.0,2,120,6,0.12,200,0,0,0,2.2516,4,1,0,0,5,5.0,normal
22,1,0.0,2,120,9,1.07,200,0,0,0,3.1699,7,1,0,1,7,3.5,normal
22,1,0.0,2,120,9,0.31,200,0,0,0,3.1699,7,1,0,1,7,3.5,normal
33,1,0.0,2,120,20,1.21,200,2,0,0,3.5464,11,1,0,0,19,19.0,normal
22,1,0.0,2,120,9,0.68,200,0,0,0,3.1699,7,1,0,1,7,3.5,normal
35,1,0.0,2,120,22,0.71,200,0,0,0,3.6978,7,1,0,0,19,19.0,normal
19,1,0.0,2,120,6,1.74,200,0,0,0,2.585,4,1,0,1,4,2.0,normal
19,1,0.0,2,120,6,0.46,200,0,0,0,2.585,4,1,0,1,4,2.0,normal
19,1,0.0,2,120,6,1.01,200,0,0,0,2.2516,3,1,0,3,2,0.5,normal
19,1,0.0,2,120,6,0.29,200,0,0,0,2.585,4,1,0,1,4,2.0,normal
19,1,0.0,2,120,6,1.15,200,0,0,0,2.2516,4,1,0,0,5,5.0,normal
25,1,0.0,2,120,12,0.38,200,0,0,0,3.085,6,1,0,0,11,11.0,normal
35,1,0.0,2,120,22,1.73,200,0,0,0,3.6978,7,1,0,0,19,19.0,normal
35,1,0.0,2,120,22,1.74,200,0,0,0,3.6978,7,1,0,0,19,19.0,normal
25,1,0.0,2,120,12,1.01,200,0,0,0,3.085,6,1,0,0,11,11.0,normal
25,1,0.0,2,120,12,1.18,200,0,0,0,3.085,6,1,0,0,11,11.0,normal
19,1,0.0,2,120,6,1.29,200,0,0,0,2.585,4,1,0,1,4,2.0,normal
19,1,0.0,2,120,6,1.7,200,0,0,0,2.2516,4,1,0,0,5,5.0,normal
23,1,0.0,2,120,10,1.88,200,1,0,0,3.1219,5,1,0,0,9,9.0,normal
33,1,0.0,2,120,20,0.87,200,2,0,0,3.5464,11,1,0,0,19,19.0,normal
19,1,0.0,2,120,6,0.18,200,0,0,0,2.2516,4,1,0,0,5,5.0,normal
23,1,0.0,2,120,10,1.58,200,1,0,0,3.1219,5,1,0,0,9,9.0,normal
22,1,0.0,2,120,9,0.47,200,0,0,0,3.1699,7,1,0,1,7,3.5,normal
23,1,0.0,2,120,10,0.84,200,1,0,0,3.1219,5,1,0,0,9,9.0,normal
19,1,0.0,2,120,6,1.52,200,0,0,0,2.585,4,1,0,1,4,2.0,normal
35,1,0.0,2,120,22,1.01,200,0,0,0,3.6978,7,1,0,0,19,19.0,normal
19,1,0.0,2,120,6,1.33,200,0,0,0,2.2516,4,1,0,0,5,5.0,normal
35,1,0.0,2,120,22,0.56,200,0,0,0,3.6978,7,1,0,0,19,19.0,normal
33,1,0.0,2,120,20,1.04,200,2,0,0,3.5464,11,1,0,0,19,19.0,normal
